x,theta,x_dot,theta_dot,force,label1,label2,label3,label4
-0.366958,0.0633808,0.0100698,-0.472506,-0.875087,0.0100698,-0.472506,-0.812044,0.378129
1.88676,-0.0710374,0.543078,0.949985,1.39472,0.543078,0.949985,1.3214,-1.24356
2.23661,0.0879295,-0.613008,-0.19174,-0.481754,-0.613008,-0.19174,-0.395472,-0.935066
1.33585,0.0533807,0.172602,0.117549,6.46318,0.172602,0.117549,6.51363,-14.0555
1.31078,-0.136691,-0.993986,0.715642,-0.296495,-0.993986,0.715642,-0.431612,3.52871
0.559385,-0.0669575,0.329145,-0.187194,-9.15612,0.329145,-0.187194,-9.2176,19.7066
-1.30896,0.0792538,0.603013,0.487399,-6.43026,0.603013,0.487399,-6.34792,11.1027
1.06241,-0.0454107,0.418801,0.851194,9.61637,0.418801,0.851194,9.56827,-18.2262
0.367863,0.0455214,-0.614239,0.805358,-3.63405,-0.614239,0.805358,-3.58724,6.27423
0.805737,0.184748,0.719047,0.481221,-7.48198,0.719047,0.481221,-7.27815,10.7044
-2.06247,0.100011,0.440558,-0.605566,-3.59907,0.440558,-0.605566,-3.4963,4.9987
-0.0778537,0.138005,-0.289811,0.557092,-8.80465,-0.289811,0.557092,-8.65247,14.4413
-1.98815,-0.19766,0.533152,0.200904,-6.10003,0.533152,0.200904,-6.26516,16.1392
-0.137492,0.162818,-0.651695,0.780259,0.410227,-0.651695,0.780259,0.570578,-4.30645
-2.30546,0.0288705,0.585931,0.587505,-0.933647,0.585931,0.587505,-0.904767,1.24242
0.121282,-0.0306477,0.338926,0.919425,-1.84047,0.338926,0.919425,-1.87163,4.34272
0.30454,-0.0581753,0.814583,-0.33032,-3.12082,0.814583,-0.33032,-3.17701,7.48402
1.90559,-0.0890564,0.659965,0.848671,4.46844,0.659965,0.848671,4.37488,-6.9701
1.09278,0.126189,0.442014,0.0124651,-9.2521,0.442014,0.0124651,-9.11518,15.6161
-1.89051,0.0342609,0.36503,-0.877254,8.19908,0.36503,-0.877254,8.23302,-17.1284
-1.66845,-0.146314,0.971334,0.541965,-6.78026,0.971334,0.541965,-6.90921,16.5312
2.38551,-0.101026,-0.748273,0.671982,8.92525,-0.748273,0.671982,8.81558,-15.5625
-1.01961,0.00194338,-0.733933,-0.903176,-0.857234,-0.733933,-0.903176,-0.855248,1.67236
1.28627,0.136764,0.530083,-0.180398,9.19999,0.530083,-0.180398,9.3154,-21.1318
-0.896302,0.0588388,0.20278,-0.620211,5.70185,0.20278,-0.620211,5.75858,-12.651
-2.00785,-0.167005,0.98166,0.237292,0.926434,0.98166,0.237292,0.763055,1.75655
0.088825,0.130568,0.0398614,-0.184727,-0.578387,0.0398614,-0.184727,-0.450765,-1.66062
-1.3696,0.0940999,-0.0564894,0.731743,6.02443,-0.0564894,0.731743,6.11332,-14.0161
0.22215,0.175537,-0.134272,-0.764842,1.04895,-0.134272,-0.764842,1.21903,-5.82697
-1.99724,0.0651706,0.668371,0.924099,-0.821439,0.668371,0.924099,-0.754587,0.228229
